user_id,operator,plan_type,download_speed_mbps,got_4g_instead_of_5g,post_expiry_calls_3x,signal_problems,sits_under_sunlight_for_network,phonepe_extra_charge,call_cut_zero_balance,no_1gb_per_day_plan,data_loan_available,years_using_sim,age_group,complaint_count,churned
11,Jio,5G,14.95,1,1,1,1,1,0,0,1,1-3,18-25,5,1
71,Airtel,5G,1.73,1,0,1,0,0,1,1,0,3-5,26-35,4,0
48,Jio,5G,8.21,1,1,1,0,0,0,0,1,1-3,18-25,3,0
55,Airtel,5G,1.88,1,0,1,1,1,1,1,0,3-5,18-25,6,1
41,Jio,5G,18.73,1,1,1,1,0,0,0,1,5+,18-25,4,0
66,Airtel,5G,1.39,1,0,1,1,1,1,1,0,3-5,36-50,6,1
60,Airtel,5G,1.46,1,0,1,1,1,1,1,0,5+,18-25,6,1
82,BSNL,4G,0.0,0,0,1,0,0,0,0,0,5+,50+,1,0
78,Airtel,5G,1.65,1,0,1,0,0,1,0,0,3-5,18-25,3,0
46,Jio,5G,9.56,1,1,1,0,0,0,0,1,3-5,26-35,3,0
77,Airtel,5G,2.32,1,0,1,0,0,1,0,0,3-5,26-35,3,0
67,Airtel,5G,2.31,1,0,1,1,1,1,1,0,3-5,26-35,6,1
49,Jio,5G,8.83,1,1,1,0,0,0,0,1,<1,26-35,3,0
37,Jio,5G,7.77,1,1,1,1,1,0,0,1,<1,18-25,5,1
64,Airtel,5G,1.21,1,0,1,1,1,1,1,0,<1,36-50,6,1
28,Jio,5G,15.25,1,1,1,1,1,0,0,1,1-3,18-25,5,1
36,Jio,5G,8.16,1,1,1,1,1,0,0,1,1-3,26-35,5,1
32,Jio,5G,14.07,1,1,1,1,1,0,0,1,3-5,18-25,5,1
52,Airtel,5G,1.63,1,0,1,1,1,1,1,0,5+,18-25,6,1
40,Jio,5G,6.97,1,1,1,1,1,0,0,1,5+,18-25,5,1
3,Jio,5G,4.54,1,1,1,1,1,0,0,1,5+,26-35,5,1
34,Jio,5G,5.48,1,1,1,1,1,0,0,1,<1,26-35,5,1
35,Jio,5G,9.39,1,1,1,1,1,0,0,1,3-5,36-50,5,1
47,Jio,5G,10.33,1,1,1,0,0,0,0,1,5+,50+,3,0
16,Jio,5G,15.99,1,1,1,1,1,0,0,1,1-3,18-25,5,1
68,Airtel,5G,0.94,1,0,1,1,1,1,1,0,1-3,36-50,6,0
63,Airtel,5G,2.19,1,0,1,1,1,1,1,0,3-5,18-25,6,1
20,Jio,5G,7.15,1,1,1,1,1,0,0,1,<1,18-25,5,1
43,Jio,5G,18.93,1,1,1,1,0,0,0,1,5+,18-25,4,0
75,Airtel,5G,0.96,1,0,1,0,0,1,1,0,1-3,18-25,4,0
69,Airtel,5G,1.83,1,0,1,1,0,1,1,0,<1,18-25,5,0
27,Jio,5G,10.23,1,1,1,1,1,0,0,1,<1,36-50,5,1
81,BSNL,4G,0.0,0,0,1,0,0,0,0,0,5+,36-50,1,0
44,Jio,5G,13.11,1,1,1,1,0,0,0,1,1-3,18-25,4,0
62,Airtel,5G,2.29,1,0,1,1,1,1,1,0,1-3,26-35,6,1
39,Jio,5G,15.44,1,1,1,1,1,0,0,1,5+,26-35,5,1
22,Jio,5G,10.2,1,1,1,1,1,0,0,1,1-3,18-25,5,1
80,BSNL,4G,0.0,0,0,1,0,0,0,0,0,3-5,36-50,1,0
4,Jio,5G,16.85,1,1,1,1,1,0,0,1,<1,50+,5,1
58,Airtel,5G,0.83,1,0,1,1,1,1,1,0,3-5,18-25,6,1
57,Airtel,5G,0.87,1,0,1,1,1,1,1,0,3-5,26-35,6,1
45,Jio,5G,5.71,1,1,1,1,0,0,0,1,1-3,36-50,4,0
53,Airtel,5G,1.94,1,0,1,1,1,1,1,0,3-5,18-25,6,1
25,Jio,5G,3.54,1,1,1,1,1,0,0,1,5+,26-35,5,1
9,Jio,5G,12.08,1,1,1,1,1,0,0,1,3-5,18-25,5,1
18,Jio,5G,18.12,1,1,1,1,1,0,0,1,5+,36-50,5,1
1,Jio,5G,10.53,1,1,1,1,1,0,0,1,5+,26-35,5,1
74,Airtel,5G,2.24,1,0,1,0,0,1,1,0,3-5,18-25,4,0
54,Airtel,5G,2.04,1,0,1,1,1,1,1,0,1-3,26-35,6,1
8,Jio,5G,6.08,1,1,1,1,1,0,0,1,1-3,18-25,5,1
79,BSNL,4G,0.0,0,0,1,0,0,0,0,0,3-5,50+,1,0
59,Airtel,5G,1.9,1,0,1,1,1,1,1,0,1-3,26-35,6,1
14,Jio,5G,11.78,1,1,1,1,1,0,0,1,<1,18-25,5,1
23,Jio,5G,6.11,1,1,1,1,1,0,0,1,5+,18-25,5,1
33,Jio,5G,13.34,1,1,1,1,1,0,0,1,1-3,18-25,5,1
31,Jio,5G,5.71,1,1,1,1,1,0,0,1,3-5,26-35,5,1
56,Airtel,5G,2.22,1,0,1,1,1,1,1,0,1-3,18-25,6,1
50,Jio,5G,12.96,1,1,1,0,0,0,0,1,<1,18-25,3,0
42,Jio,5G,5.52,1,1,1,1,0,0,0,1,1-3,18-25,4,0
61,Airtel,5G,1.38,1,0,1,1,1,1,1,0,<1,36-50,6,1
24,Jio,5G,22.13,1,1,1,1,1,0,0,1,3-5,18-25,5,1
5,Jio,5G,19.21,1,1,1,1,1,0,0,1,1-3,18-25,5,1
70,Airtel,5G,1.93,1,0,1,1,0,1,1,0,<1,18-25,5,0
15,Jio,5G,4.09,1,1,1,1,1,0,0,1,5+,18-25,5,1
30,Jio,5G,15.52,1,1,1,1,1,0,0,1,5+,18-25,5,1
29,Jio,5G,9.33,1,1,1,1,1,0,0,1,1-3,26-35,5,1
12,Jio,5G,21.41,1,1,1,1,1,0,0,1,5+,26-35,5,1
